Timestamp,Participant_ID,Round,Period,Page,Action,Field,Value
2025-03-21T05:21:20.018656,1,3,3,VoterPage,Voted,vote,True
2025-03-21T05:21:20.756113,2,3,3,VoterPage,Voted,vote,True
2025-03-21T05:21:21.442482,3,3,3,VoterPage,Voted,vote,False
2025-03-21T05:21:37.086674,1,4,4,ProposerPage,Submitted Proposal,s1,10
2025-03-21T05:21:37.086830,1,4,4,ProposerPage,Submitted Proposal,s2,20
2025-03-21T05:21:37.086854,1,4,4,ProposerPage,Submitted Proposal,s3,0
2025-03-21T05:21:37.801978,2,4,4,ProposerPage,Submitted Proposal,s1,20
2025-03-21T05:21:37.802052,2,4,4,ProposerPage,Submitted Proposal,s2,10
2025-03-21T05:21:37.802072,2,4,4,ProposerPage,Submitted Proposal,s3,0
2025-03-21T05:21:38.793339,3,4,4,ProposerPage,Submitted Proposal,s1,10
2025-03-21T05:21:38.793384,3,4,4,ProposerPage,Submitted Proposal,s2,20
2025-03-21T05:21:38.793395,3,4,4,ProposerPage,Submitted Proposal,s3,0
2025-03-21T05:23:27.165615,1,4,4,VoterPage,Voted,vote,True
2025-03-21T05:23:27.849493,2,4,4,VoterPage,Voted,vote,False
2025-03-21T05:23:28.558386,3,4,4,VoterPage,Voted,vote,True
2025-03-21T05:28:56.261198,1,1,1,ProposerPage,Submitted Proposal,s1,30
2025-03-21T05:28:56.261339,1,1,1,ProposerPage,Submitted Proposal,s2,0
2025-03-21T05:28:56.261364,1,1,1,ProposerPage,Submitted Proposal,s3,0
2025-03-21T05:28:56.913587,2,1,1,ProposerPage,Submitted Proposal,s1,0
2025-03-21T05:28:56.913731,2,1,1,ProposerPage,Submitted Proposal,s2,30
2025-03-21T05:28:56.913763,2,1,1,ProposerPage,Submitted Proposal,s3,0
2025-03-21T05:28:57.654926,3,1,1,ProposerPage,Submitted Proposal,s1,0
2025-03-21T05:28:57.655119,3,1,1,ProposerPage,Submitted Proposal,s2,0
2025-03-21T05:28:57.655150,3,1,1,ProposerPage,Submitted Proposal,s3,30
2025-03-21T05:29:02.591348,1,1,1,VoterPage,Voted,vote,False
2025-03-21T05:29:03.577515,2,1,1,VoterPage,Voted,vote,False
2025-03-21T05:29:04.249368,3,1,1,VoterPage,Voted,vote,True
2025-03-21T05:29:21.480851,1,2,2,ProposerPage,Submitted Proposal,s1,10
2025-03-21T05:29:21.480969,1,2,2,ProposerPage,Submitted Proposal,s2,10
2025-03-21T05:29:21.480994,1,2,2,ProposerPage,Submitted Proposal,s3,10
2025-03-21T05:29:22.199521,2,2,2,ProposerPage,Submitted Proposal,s1,10
2025-03-21T05:29:22.199639,2,2,2,ProposerPage,Submitted Proposal,s2,10
2025-03-21T05:29:22.199668,2,2,2,ProposerPage,Submitted Proposal,s3,10
2025-03-21T05:29:22.911916,3,2,2,ProposerPage,Submitted Proposal,s1,10
2025-03-21T05:29:22.911977,3,2,2,ProposerPage,Submitted Proposal,s2,10
2025-03-21T05:29:22.911989,3,2,2,ProposerPage,Submitted Proposal,s3,10
