SessionID,ParticipantCode,FinalPageVisited,GroupID,ID_in_Group,Treatment,Round,SubgroupID,ID_in_Subgroup,S1,S2,S3,SelfProposal,Selected_Proposal,Vote,Approved,Num_of_Approvals,Earnings,CompletionCode
17,acmbo8jo,SyncBottom,6,9,Baseline,2,3.0,3.0,10.0,10.0,10.0,10.0,"{""1"": {""proposer_id"": 1, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}, ""2"": {""proposer_id"": 2, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}, ""3"": {""proposer_id"": 2, ""proposal"": {""s1"": 5, ""s2"": 20, ""s3"": 5}}}",1,1,2,5.0,
17,acmbo8jo,SyncBottom,6,9,Baseline,3,,,,,,,{},0,0,0,0.0,
18,7rssh5ja,Part4,46,4,Priming,1,1.0,2.0,5.0,20.0,5.0,20.0,"{""1"": {""proposer_id"": 3, ""proposal"": {""s1"": 0, ""s2"": 0, ""s3"": 30}}, ""2"": {""proposer_id"": 3, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}, ""3"": {""proposer_id"": 2, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}}",0,1,3,0.0,
18,7rssh5ja,Part4,46,4,Priming,2,3.0,1.0,20.0,5.0,5.0,20.0,"{""1"": {""proposer_id"": 3, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}, ""2"": {""proposer_id"": 3, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}, ""3"": {""proposer_id"": 1, ""proposal"": {""s1"": 20, ""s2"": 5, ""s3"": 5}}}",1,1,3,0.0,
18,7rssh5ja,Part4,46,4,Priming,3,3.0,1.0,28.0,1.0,1.0,28.0,"{""1"": {""proposer_id"": 2, ""proposal"": {""s1"": 8, ""s2"": 15, ""s3"": 7}}, ""2"": {""proposer_id"": 1, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}, ""3"": {""proposer_id"": 2, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}}",1,1,3,10.0,
19,xk8r1wsd,QuizPage,,19,Baseline,1,,,,,,,{},0,0,0,0.0,
19,xk8r1wsd,QuizPage,,19,Baseline,2,,,,,,,{},0,0,0,0.0,
19,xk8r1wsd,QuizPage,,19,Baseline,3,,,,,,,{},0,0,0,0.0,
20,2h9gtjsq,Part3,46,3,Priming,1,3.0,3.0,10.0,10.0,10.0,10.0,"{""1"": {""proposer_id"": 3, ""proposal"": {""s1"": 0, ""s2"": 0, ""s3"": 30}}, ""2"": {""proposer_id"": 3, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}, ""3"": {""proposer_id"": 2, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}}",1,1,3,10.0,
20,2h9gtjsq,Part3,46,3,Priming,2,1.0,1.0,10.0,10.0,10.0,10.0,"{""1"": {""proposer_id"": 3, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}, ""2"": {""proposer_id"": 3, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}, ""3"": {""proposer_id"": 1, ""proposal"": {""s1"": 20, ""s2"": 5, ""s3"": 5}}}",1,1,3,10.0,
20,2h9gtjsq,Part3,46,3,Priming,3,2.0,1.0,10.0,10.0,10.0,10.0,"{""1"": {""proposer_id"": 2, ""proposal"": {""s1"": 8, ""s2"": 15, ""s3"": 7}}, ""2"": {""proposer_id"": 1, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}, ""3"": {""proposer_id"": 2, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}}",1,1,3,10.0,
21,q9p9zzdr,WelcomePage,,21,Baseline,1,,,,,,,{},0,0,0,0.0,
21,q9p9zzdr,WelcomePage,,21,Baseline,2,,,,,,,{},0,0,0,0.0,
21,q9p9zzdr,WelcomePage,,21,Baseline,3,,,,,,,{},0,0,0,0.0,
22,slhnfzmh,WelcomePage,,22,Baseline,1,,,,,,,{},0,0,0,0.0,
22,slhnfzmh,WelcomePage,,22,Baseline,2,,,,,,,{},0,0,0,0.0,
22,slhnfzmh,WelcomePage,,22,Baseline,3,,,,,,,{},0,0,0,0.0,
23,dnh5buoh,Part3,37,2,Baseline,1,3.0,2.0,10.0,10.0,10.0,10.0,"{""1"": {""proposer_id"": 2, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}, ""2"": {""proposer_id"": 1, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}, ""3"": {""proposer_id"": 1, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}}",1,1,3,10.0,
23,dnh5buoh,Part3,37,2,Baseline,2,1.0,2.0,10.0,10.0,10.0,10.0,"{""1"": {""proposer_id"": 2, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}, ""2"": {""proposer_id"": 1, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}, ""3"": {""proposer_id"": 3, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}}",1,1,3,10.0,
23,dnh5buoh,Part3,37,2,Baseline,3,2.0,3.0,8.0,9.0,13.0,13.0,"{""1"": {""proposer_id"": 1, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}, ""2"": {""proposer_id"": 1, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}, ""3"": {""proposer_id"": 3, ""proposal"": {""s1"": 10, ""s2"": 10, ""s3"": 10}}}",1,1,3,10.0,
